id,name,lat,lon
289,Viekšniai,56.264917094075,22.519618123462
295,Mažeikiai,56.312450193979,22.340344535396
296,Žeimena,55.093495,25.945738
299,Gustonys,55.74445756633,24.160262025222
301,Pavenčiai,55.97868487003,22.931195178531
304,Livintai,54.935308160944,24.35071367357
305,Jiesia,54.819852741045,23.919376166554
307,Pailgis,54.933215,25.661920
315,Kuršėnai,56.03453704347,22.982314156476
317,Žeimiai,55.150350747321,24.182931387777
323,Šilėnai,55.863539493192,23.413644284223
326,"Oro uostas",54.642493,25.27657
331,Gaižiūnai,55.039226583411,24.328218729629
335,"Sodų geležinkelio pusstotė",55.879836,23.392356
336,"Linkaičių geležinkelio stotis",55.770242,23.603786
337,"Radžiūnų geležinkelio pusstotė",55.770328,24.890738
338,Panevezys,55.74512,24.35477
339,"Radžiūnų geležinkelio pusstotė",55.77031,24.89069
340,Panyamunelis,55.90738,25.38764
341,"Linkaičių geležinkelio stotis",55.77024,23.60377
342,"Sodų geležinkelio pusstotė",55.87983,23.39237
343,"Kidarų geležinkelio pusstotė",54.39501,25.28019
345,Kalviai,54.39689,24.74625
346,"Šklėrių geležinkelio pusstotė",54.5629,24.87951
347,"Miškinių geležinkelio pusstotė",54.59589,24.94267
349,"Būdviečių geležinkelio pusstotė",54.61473,23.41365
350,"Rimkų geležinkelio stotis",55.66484,21.21685
351,"Bajorų geležinkelio stotis",55.87137,21.22216
352,Leplauke,55.97212,22.10033
354,"Telšių geležinkelio stotis",55.992625,22.251765
