Stone Avenue,"-87.8783,41.8141"
Stony Island,"-87.5872,41.7661"
Tinley Park – 80th Avenue,"-87.8095,41.5643"
Tinley Park,"-87.7828,41.5758"
University Park,"-87.7234,41.4593"
Van Buren Street,"-87.622844,41.877326"
Vernon Hills,"-87.9646,42.2156"
Villa Park,"-87.9775,41.8965"
Washington Street,"-88.0504,42.3593"
Waukegan,"-87.8283,42.3607"
West Chicago,"-88.1989,41.8811"
West Hinsdale,"-87.9454,41.799"
West Pullman,"-87.6429,41.6742"
Western Avenue,"-87.6853,41.8578"
Western Avenue,"-87.6881,41.8892"
Western Springs,"-87.9011,41.809"
Westmont,"-87.9764,41.7955"
Wheaton,"-88.112,41.8645"
Wheeling,"-87.9274,42.1365"
Willow Springs,"-87.8783,41.7334"
Wilmette,"-87.7092,42.0773"
Windsor Park,"-87.5595,41.7585"
Winfield,"-88.1568,41.87"
Winnetka,"-87.7329,42.1052"
Winthrop Harbor,"-87.8163,42.4826"
Wood Dale,"-87.9752,41.9624"
Woodstock,"-88.4476,42.317"
Worth,"-87.7959,41.6914"
Wrightwood,"-87.7036,41.7489"
Zion,"-87.818,42.4492"
