Station_ID,Name_EN,Name_JP,Latitude,Longitude
1161634,Nakayamaguchi Station,中山口駅（なかやまぐち）,35.5207476,133.5903035
1122505,Nakayamajuku Station,中山宿駅（なかやまじゅく）,37.4957236,140.2193570
9991138,Nakazato Station,中里駅 (長崎県)（なかざと）,33.2082850,129.6878670
1132523,Nakofunakata Station,那古船形駅（なこふなかた）,35.0290090,139.8513960
1122930,Nakoso Station,勿来駅（なこそ）,36.8841249,140.7870201
2700120,Namamugi Station,生麦駅（なまむぎ）,35.4960157,139.6677277
1162911,Namaze Station,生瀬駅（なまぜ）,34.8192622,135.3249801
1191111,Namazuta Station,鯰田駅（なまずた）,33.6690433,130.7024306
3200101,Namba Station,難波駅（なんば）,34.6635048,135.5018561
9931702,Nambu-shijō Station,南部市場駅（なんぶしじょう）,35.3801814,139.6332221
1132424,Namegawa Island Station,行川アイランド駅（なめがわアイランド）,35.1182556,140.2259359
1132707,Namegawa Station,滑河駅（なめがわ）,35.8772336,140.3481324
1140504,Namerikawa Station,滑川駅（なめりかわ）,36.7691519,137.3488438
1140122,Namezu Station,滑津駅（なめづ）,36.2387250,138.4749930
1123013,Namie Station,浪江駅（なみえ）,37.4920920,140.9899178
1132419,Namihana Station,浪花駅（なみはな）,35.2227019,140.3794316
1121325,Namiita-Kaigan Station,浪板海岸駅（なみいたかいがん）,39.3838960,141.9352050
1180644,Namikata Station,波方駅（なみかた）,34.0951684,132.9421957
1161411,Namikawa Station,並河駅（なみかわ）,35.0315890,135.5553370
9931705,Namiki-chūō Station,並木中央駅（なみきちゅうおう）,35.3654383,139.6429378
9931704,Namikikita Station,並木北駅（なみききた）,35.3718770,139.6427010
1192321,Namino Station,波野駅（なみの）,32.9382130,131.1951600
1120261,Namioka Station,浪岡駅（なみおか）,40.7095670,140.5801350
1110105,Nanae Station,七飯駅（ななえ）,41.8865527,140.6890437
1111920,Nanaehama Station,七重浜駅（ななえはま）,41.8173476,140.7087861
