X,Y,Station_Na,Latitude,Longitude
-75.18695814,40.03512289,Tulpehocken,40.03512289,-75.18695814
-75.18993212,39.94819754,University City,39.94819754,-75.18993213
-75.19018317,40.04238197,Upsal,40.04238197,-75.19018317
-75.34232354,40.03865169,Villanova,40.03865169,-75.34232354
-75.37161187,39.90374683,Wallingford,39.90374683,-75.37161188
-75.08897602,40.19514251,Warminster,40.19514251,-75.08897602
-75.17153109,40.05105893,Washington Lane,40.05105893,-75.17153109
-75.38725171,40.04585255,Wayne,40.04585255,-75.38725171
-75.1599503,40.02242328,Wayne Junction,40.02242328,-75.1599503
-74.81551829,40.25729674,West Trenton,40.25729674,-74.81551829
-75.63845666,40.01471096,Whitford,40.01471096,-75.63845666
-75.11434728,40.14368513,Willow Grove,40.14368513,-75.11434728
-75.21020705,40.01656685,Wissahickon,40.01656685,-75.21020705
-75.16146526,40.03618207,Wister,40.03618207,-75.16146526
-74.89091083,40.19084857,Woodbourne,40.19084857,-74.89091083
-75.1967394,40.07343909,Wyndmoor,40.07343909,-75.1967394
-75.22564667,39.99021325,Wynnefield Avenue,39.99021325,-75.22564667
-75.27309096,40.00283667,Wynnewood,40.00283667,-75.27309096
-74.83094707,40.23509412,Yardley,40.23509412,-74.83094707
