stationId;stop_id;stop_code;stop_name;stop_desc;stop_lat;stop_lon;zone_id;stop_url;location_type;parent_station;wheelchair_boarding
1204;1;0NY;Grand Central Terminal;;40.752998;-73.977056;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=1;0;;1
1205;4;0HL;Harlem-125 St;;40.805157;-73.939149;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=2;0;;1
1206;622;0YS;Yankees-E 153 St;;40.8253;-73.9299;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=3;0;;1
1207;9;0MH;Morris Heights;;40.854252;-73.919583;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=4;0;;1
1208;10;0UH;University Heights;;40.862248;-73.91312;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=6;0;;1
1209;11;0MB;Marble Hill;;40.874333;-73.910941;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=8;0;;0
1210;14;0DV;Spuyten Duyvil;;40.878245;-73.921455;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=10;0;;0
1211;16;0RV;Riverdale;;40.903981;-73.914126;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=12;0;;1
1212;17;0LU;Ludlow;;40.924972;-73.904612;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=14;0;;0
1213;19;0GD;Glenwood;;40.950496;-73.899062;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=18;0;;1
1214;20;0GY;Greystone;;40.972705;-73.889069;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=20;0;;1
1215;22;0HS;Hastings-on-Hudson;;40.994109;-73.884512;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=22;0;;1
1216;23;0DF;Dobbs Ferry;;41.012459;-73.87949;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=24;0;;1
1217;24;0AR;Ardsley-on-Hudson;;41.026198;-73.876543;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=26;0;;1
1218;25;0IV;Irvington;;41.039993;-73.873083;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=28;0;;0
1219;27;0TT;Tarrytown;;41.076473;-73.864563;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=30;0;;1
1220;29;0PM;Philipse Manor;;41.09492;-73.869755;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=32;0;;0
1221;30;0SB;Scarborough;;41.135763;-73.866163;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=34;0;;0
1222;31;0OS;Ossining;;41.157663;-73.869281;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=36;0;;0
1223;37;0CT;Cortlandt;;41.246259;-73.921884;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=43;0;;1
1224;39;0PE;Peekskill;;41.285962;-73.93042;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=46;0;;1
1225;40;0MN;Manitou;;41.332601;-73.970426;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=48;0;;0
1226;42;0GA;Garrison;;41.38178;-73.947202;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=50;0;;1
1227;43;0CS;Cold Spring;;41.415283;-73.95809;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=54;0;;1
1228;44;0BK;Breakneck Ridge;;41.450181;-73.982449;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=52;0;;0
1229;46;0BC;Beacon;;41.504007;-73.984528;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=56;0;;1
1230;49;0NM;New Hamburg;;41.587448;-73.947226;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=57;0;;0
1231;54;1ML;Melrose;;40.825761;-73.915231;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=104;0;;0
1232;55;1TR;Tremont;;40.847301;-73.89955;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=106;0;;0
1233;56;1FO;Fordham;;40.8615;-73.89058;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=108;0;;1
1234;57;1BG;Botanical Garden;;40.866555;-73.883109;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=110;0;;1
1235;58;1WG;Williams Bridge;;40.878569;-73.871064;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=112;0;;0
1236;59;1WN;Woodlawn;;40.895361;-73.862916;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=114;0;;0
1237;61;1WF;Wakefield;;40.905936;-73.85568;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=116;0;;0
1238;62;1MW;Mt Vernon West;;40.912142;-73.851129;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=118;0;;1
1239;64;1FW;Fleetwood;;40.92699;-73.83948;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=120;0;;1
1240;65;1BX;Bronxville;;40.93978;-73.835208;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=122;0;;0
1241;66;1TK;Tuckahoe;;40.949393;-73.830166;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=124;0;;0
1242;68;1CW;Crestwood;;40.958997;-73.820564;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=126;0;;1
1243;71;1SC;Scarsdale;;40.989168;-73.808634;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=128;0;;0
1244;72;1HA;Hartsdale;;41.010333;-73.796407;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=130;0;;0
1245;74;1WP;White Plains;;41.032589;-73.775208;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=132;0;;1
1246;76;1NW;North White Plains;;41.049806;-73.773142;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=134;0;;1
1247;78;1VA;Valhalla;;41.072819;-73.772599;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=136;0;;1
1248;79;1MP;Mt Pleasant;;41.095877;-73.793822;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=140;0;;0
1249;80;1HN;Hawthorne;;41.108581;-73.79625;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=142;0;;1
1250;81;1PV;Pleasantville;;41.135222;-73.792661;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=146;0;;1
1251;83;1CQ;Chappaqua;;41.158015;-73.774885;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=148;0;;1
1252;84;1MK;Mt Kisco;;41.208242;-73.729778;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=150;0;;1
1253;85;1BH;Bedford Hills;;41.237316;-73.699936;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=152;0;;1
1254;86;1KA;Katonah;;41.259552;-73.684155;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=154;0;;1
1255;88;1GO;Goldens Bridge;;41.294338;-73.677655;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=156;0;;1
1256;89;1PY;Purdy's;;41.325775;-73.659061;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=158;0;;1
1257;90;1CF;Croton Falls;;41.347722;-73.662269;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=160;0;;1
1258;91;1BW;Brewster;;41.39447;-73.619802;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=162;0;;1
1259;94;1BR;Southeast;;41.413203;-73.623787;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=163;0;;1
1260;97;1PA;Patterson;;41.511827;-73.604584;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=164;0;;1
1261;98;1PW;Pawling;;41.564205;-73.600524;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=166;0;;1
1262;99;1AT;Appalachian Trail;;41.592871;-73.588032;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=167;0;;0
1263;100;1WI;Harlem Valley-Wingdale;;41.637525;-73.57145;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=168;0;;1
1264;101;1DO;Dover Plains;;41.740401;-73.576502;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=170;0;;1
1265;176;1TM;Tenmile River;;41.779938;-73.558204;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=172;0;;1
1266;177;1WA;Wassaic;;41.814722;-73.562197;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=174;0;;1
1267;105;2ME;Mt Vernon East ;;40.912161;-73.832185;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=202;0;;1
1268;106;2PH;Pelham;;40.910321;-73.810242;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=204;0;;0
1269;110;2LA;Larchmont;;40.933394;-73.759792;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=208;0;;1
1270;111;2MA;Mamaroneck;;40.954061;-73.736125;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=210;0;;0
1271;112;2HS;Harrison;;40.969432;-73.712964;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=212;0;;1
1272;114;2RY;Rye;;40.985922;-73.682553;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=214;0;;1
1273;115;2PC;Port Chester;;41.000732;-73.6647;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=216;0;;0
1274;116;2GN;Greenwich;;41.021277;-73.624621;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=218;0;;1
1275;118;2CC;Cos Cob;;41.030171;-73.598306;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=220;0;;0
1276;120;2RS;Riverside;;41.031682;-73.588173;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=222;0;;0
1277;121;2OG;Old Greenwich;;41.033817;-73.565859;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=224;0;;0
1278;153;3GB;Glenbrook;;41.070547;-73.520021;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=260;0;;1
1279;154;3SD;Springdale;;41.08876;-73.517828;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=262;0;;1
1280;155;3TH;Talmadge Hill;;41.116012;-73.498149;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=264;0;;1
1281;157;3NC;New Canaan;;41.146305;-73.495626;;http://as0.mta.info/mnr/stations/station_detail.cfm?key=266;0;;1
